generation,Individual,chromosome_ID,genes,fitness,test_EXP_VAR_SCORE,test_MAE,test_MAPE,test_MAX_ERROR,test_MSE,test_R2,test_RMSE,train_EXP_VAR_SCORE,train_MAE,train_MAPE,train_MAX_ERROR,train_MSE,train_R2,train_RMSE
14,6,14_6,"[0.063953, 0.168, 2, 16, 'elu', 'mape', [['LSTM', 'LSTM']], 'Adamax']",36.71622474172962,0.8913752763598983,4.21136970870617,0.1830926892737203,51.6498078918457,36.71622474172962,0.8302893237425177,6.05939144978517,0.894858827599701,5.165912110389435,0.1977249270295089,70.28163904190063,53.21874876916857,0.8315834762460719,7.295118146347499
14,7,14_7,"[0.086376, 0.339, 1, 8, 'softmax', 'mse', ['SimpleRNN'], 'Adamax']",63.14241969657104,0.7891154638502225,5.151591808401574,0.1885358690100098,55.520352859497066,63.14241969657104,0.708141487241206,7.946220466144331,0.8131893850135761,6.197818348891325,0.2045966262393911,68.51178163528442,85.91537412944449,0.728111446012013,9.269054651335512
14,8,14_8,"[0.084618, 0.384, 4, 16, 'selu', 'mae', ['GRU'], 'Adamax']",211.05432143373065,0.0392454902842693,10.284879109161103,0.5412221314454069,65.41148849487304,211.05432143373065,0.024459299137214,14.527708746864754,0.0704318474653492,12.299178239955502,0.5999968013090963,67.08682624816895,323.6872522181669,-0.0243435455142941,17.99131046417039
14,9,14_9,"[0.089251, 0.371, 2, 8, 'tanh', 'mape', [['LSTM', 'GRU']], 'Nadam']",216.40746528013256,0.0,10.746759218177628,0.5985627634856732,63.594630889892585,216.40746528013256,-0.0002841397284902,14.710794175710996,-1.602940002953801e-11,12.753067573129345,0.6541960273323717,63.604630889892576,334.96647927509264,-0.0600378873673517,18.30208947839269
15,0,18_1,"[0.051196, 0.181, 1, 8, 'selu', 'mae', ['LSTM'], 'Ftrl']",21.1241436692416,0.904965994627558,2.926574142220737,0.1355459698997312,53.98513366699218,21.1241436692416,0.902359441018654,4.596100920262913,0.907822670496323,3.524284587975243,0.1539002588677437,70.39332384109497,29.959210478844724,0.905190817147088,5.4735007516985625
15,1,15_1,"[0.051196, 0.181, 1, 8, 'selu', 'mae', ['LSTM'], 'Ftrl']",21.1241436692416,0.904965994627558,2.926574142220737,0.1355459698997312,53.98513366699218,21.1241436692416,0.902359441018654,4.596100920262913,0.907822670496323,3.524284587975243,0.1539002588677437,70.39332384109497,29.959210478844724,0.905190817147088,5.4735007516985625
15,2,18_2,"[0.017318, 0.181, 1, 8, 'selu', 'mae', ['LSTM'], 'Ftrl']",21.46812194933244,0.9020292972716152,2.978786921321836,0.1465873123472198,55.599956054687496,21.46812194933244,0.9007694957848306,4.633370473999725,0.9046363149843248,3.5978741546435025,0.1786432865648949,68.32398456573486,30.599949547935797,0.9031631286135282,5.531722114128275
15,3,17_6,"[0.008746, 0.429, 1, 32, 'elu', 'mape', ['LSTM'], 'Ftrl']",21.71621223104429,0.9033745294496356,2.9766224885606416,0.1365769493599574,49.90369750976562,21.71621223104429,0.8996227665179086,4.660065689563217,0.9038803276326316,3.658662944347972,0.1519609241090581,70.47047895431518,31.98566527955617,0.898777880334902,5.655587085312733
15,4,16_5,"[0.086376, 0.349, 1, 8, 'selu', 'mae', ['LSTM'], 'Ftrl']",22.25891349693768,0.899982443692485,3.0280624350531435,0.1422027982658935,50.73514129638672,22.25891349693768,0.8971142787992386,4.717935300206826,0.9032472634332028,3.675092789579646,0.1635777973064185,69.52446550369262,31.854713733429357,0.8991922907577127,5.643998027411894
15,5,16_6,"[0.051196, 0.181, 1, 8, 'selu', 'mape', ['LSTM'], 'Ftrl']",22.526625604228705,0.9019061108890014,3.025184752553651,0.1351717777872256,47.22501281738281,22.526625604228705,0.8958768530265654,4.746222245557903,0.9057034746400758,3.639778440540406,0.1542063588626747,70.08858627319336,31.62052768350159,0.8999333980056784,5.6232132881033055
